sid,uniprot_id,uniprot.full.name,flag1,flag2,flag3,entrezgenesymbol
SeqId_10070_22,P16885,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",0,0,1,PLCG2
SeqId_10073_22,Q9NUW8,Tyrosyl-DNA phosphodiesterase 1,0,0,0,TDP1
SeqId_10074_128,P25440,Bromodomain-containing protein 2,0,0,0,BRD2
SeqId_10075_75,Q9BR61,Acyl-CoA-binding domain-containing protein 6,0,0,1,ACBD6
SeqId_10076_1,O00189,AP-4 complex subunit mu-1,0,0,0,AP4M1
SeqId_10078_5,O95817,BAG family molecular chaperone regulator 3,0,0,0,BAG3
SeqId_10080_9,Q14232,Translation initiation factor eIF-2B subunit alpha,0,0,1,EIF2B1
SeqId_10081_17,Q9UPW6,DNA-binding protein SATB2,0,0,1,SATB2
SeqId_10082_251,P07196,Neurofilament light polypeptide,0,0,0,NEFL
SeqId_10085_25,P49675,"Steroidogenic acute regulatory protein, mitochondrial",0,0,1,STAR
SeqId_10086_39,P35520,Cystathionine beta-synthase,0,0,0,CBS
SeqId_10087_10,P02489,Alpha-crystallin A chain,0,0,0,CRYAA
SeqId_10088_37,P07741,Adenine phosphoribosyltransferase,0,0,1,APRT
SeqId_10089_7,O95671,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein,0,0,0,ASMTL
SeqId_10336_3,Q9UNE7,E3 ubiquitin-protein ligase CHIP,0,0,1,STUB1
SeqId_10339_48,P09104,Gamma-enolase,0,0,1,ENO2
SeqId_10342_55,Q8N2W9,E3 SUMO-protein ligase PIAS4,0,0,1,PIAS4
SeqId_10344_334,Q13651,Interleukin-10 receptor subunit alpha,0,0,1,IL10RA
SeqId_10346_5,P40763,Signal transducer and activator of transcription 3,0,0,1,STAT3
SeqId_10356_21,P05412,Transcription factor AP-1,7,0,1,JUN
SeqId_10361_25,P00973,2'-5'-oligoadenylate synthase 1,0,0,0,OAS1
SeqId_10362_35,P01106,Myc proto-oncogene protein,0,0,0,MYC
SeqId_10363_13,P84022,Mothers against decapentaplegic homolog 3,5,0,1,SMAD3
SeqId_10364_6,Q15796,Mothers against decapentaplegic homolog 2,5,0,1,SMAD2
SeqId_10365_132,Q9NPF7|P29460,Interleukin-12 subunit beta|Interleukin-23 subunit alpha,6,0,1,IL12B IL23A
SeqId_10366_11,P16234,Platelet-derived growth factor receptor alpha,0,0,0,PDGFRA
SeqId_10367_62,P29460|P29459,Interleukin-12 subunit beta|Interleukin-12 subunit alpha,0,0,0,IL12A IL12B
SeqId_10370_21,P42224,Signal transducer and activator of transcription 1-alpha/beta,0,0,1,STAT1
SeqId_10372_18,P42226,Signal transducer and activator of transcription 6,0,0,1,STAT6
SeqId_10390_21,Q9ULT6,E3 ubiquitin-protein ligase ZNRF3,0,0,1,ZNRF3
SeqId_10391_1,Q9Y5C1,Angiopoietin-related protein 3,0,0,1,ANGPTL3
SeqId_10396_6,Q07820,Induced myeloid leukemia cell differentiation protein Mcl-1,0,0,0,MCL1
SeqId_10416_79,,,1,1,1,
SeqId_10418_36,Q86Y82,Syntaxin-12,0,0,1,STX12
SeqId_10419_1,Q6ZMJ2,Scavenger receptor class A member 5,0,0,0,SCARA5
SeqId_10424_31,Q9NQX5,Neural proliferation differentiation and control protein 1,0,0,0,NPDC1
SeqId_10425_3,O43286,"Beta-1,4-galactosyltransferase 5",0,0,0,B4GALT5
SeqId_10426_21,O14653,Golgi SNAP receptor complex member 2,0,1,1,GOSR2
SeqId_10427_2,,,1,1,1,
SeqId_10428_1,P43631,Killer cell immunoglobulin-like receptor 2DS2,0,0,0,KIR2DS2
SeqId_10430_31,P08195,4F2 cell-surface antigen heavy chain,0,0,1,SLC3A2
SeqId_10432_3,Q3SXP7,Protein shisa-like-1,0,0,0,KIAA1644
SeqId_10435_2,P20933,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,0,0,0,AGA
SeqId_10438_19,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,0,0,0,CSF2RA
SeqId_10440_26,Q9H6B4,CXADR-like membrane protein,0,0,0,CLMP
SeqId_10442_1,Q8WZ59,Transmembrane protein 190,0,0,0,TMEM190
SeqId_10445_20,O95445,Apolipoprotein M,0,0,1,APOM
SeqId_10447_18,Q9H361,Polyadenylate-binding protein 3,0,0,1,PABPC3
SeqId_10449_31,Q6UWI4,Protein shisa-2 homolog,0,0,1,SHISA2
SeqId_10451_11,Q02818,Nucleobindin-1,0,0,1,NUCB1
SeqId_10452_24,,,1,1,1,
SeqId_10453_7,Q6UY09,Carcinoembryonic antigen-related cell adhesion molecule 20,0,0,0,CEACAM20
SeqId_10454_99,Q9Y2G8,DnaJ homolog subfamily C member 16,0,0,1,DNAJC16
SeqId_10455_196,Q6EBC2,Interleukin-31,0,0,0,IL31
SeqId_10461_57,,,1,1,1,
SeqId_10462_14,Q9Y5Q6,Insulin-like peptide INSL5,0,0,0,INSL5
SeqId_10464_6,Q9H6X2,Anthrax toxin receptor 1,0,0,0,ANTXR1
SeqId_10467_58,,,1,1,1,
SeqId_10471_25,,,1,1,1,
SeqId_10476_23,,,1,1,1,
SeqId_10477_162,,,1,1,1,
SeqId_10485_56,P43358,Melanoma-associated antigen 4,0,1,1,MAGEA4
SeqId_10489_19,,,1,1,1,
SeqId_10490_3,P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,0,0,0,RPN1
SeqId_10491_21,,,1,1,1,
SeqId_10494_48,,,1,1,1,
SeqId_10495_10,,,1,1,1,
SeqId_10496_11,A8K7I4,Calcium-activated chloride channel regulator 1,0,0,0,CLCA1
SeqId_10497_242,,,1,1,1,
SeqId_10499_1,Q96A25,Transmembrane protein 106A,0,0,0,TMEM106A
SeqId_10501_3,,,1,1,1,
SeqId_10502_15,,,1,1,1,
SeqId_10503_55,,,1,1,1,
SeqId_10504_6,,,1,1,1,
SeqId_10506_53,O15173,Membrane-associated progesterone receptor component 2,0,0,0,PGRMC2
SeqId_10507_166,P26436,Acrosomal protein SP-10,0,0,0,ACRV1
SeqId_10510_62,Q6UWF3,SLP adapter and CSK-interacting membrane protein,0,0,0,SCIMP
SeqId_10511_10,P12111,Collagen alpha-3(VI) chain,0,1,1,COL6A3
SeqId_10512_13,P32927,Cytokine receptor common subunit beta,0,0,0,CSF2RB
SeqId_10513_13,Q9Y2W7,Calsenilin,0,0,0,KCNIP3
SeqId_10514_5,P41222,Prostaglandin-H2 D-isomerase,0,0,0,PTGDS
SeqId_10516_53,,,1,1,1,
SeqId_10518_14,,,1,1,1,
SeqId_10521_10,Q9BRK3,Matrix remodeling-associated protein 8,0,0,0,MXRA8
SeqId_10522_167,,,1,1,1,
SeqId_10527_22,Q08211,ATP-dependent RNA helicase A,0,0,1,DHX9
SeqId_10529_19,,,1,1,1,
SeqId_10530_8,P28072,Proteasome subunit beta type-6,0,0,1,PSMB6
SeqId_10531_18,P01111,GTPase NRas,0,0,1,NRAS
SeqId_10533_1,,,1,1,1,
SeqId_10534_40,P09874,Poly [ADP-ribose] polymerase 1,0,0,0,PARP1
SeqId_10535_25,Q02221,"Cytochrome c oxidase subunit 6A2, mitochondrial",0,0,0,COX6A2
SeqId_10539_30,Q8TCZ2,CD99 antigen-like protein 2,0,0,0,CD99L2
SeqId_10546_2,Q8WU66,Thrombospondin-type laminin G domain and EAR repeat-containing protein,0,0,1,TSPEAR
SeqId_10547_42,,,1,1,1,
SeqId_10548_35,,,1,1,1,
SeqId_10550_37,O00238,Bone morphogenetic protein receptor type-1B,0,0,0,BMPR1B
SeqId_10551_7,O43561,Linker for activation of T-cells family member 1,0,0,0,LAT
SeqId_10552_88,O43908,NKG2-F type II integral membrane protein,0,0,0,KLRC4
SeqId_10553_8,Q8NFQ8,Torsin-1A-interacting protein 2,0,0,0,TOR1AIP2
SeqId_10554_23,P16278,Beta-galactosidase,0,1,1,GLB1
SeqId_10557_6,Q8N6K0,Testis-expressed protein 29,0,0,1,TEX29
SeqId_10558_26,Q9HC56,Protocadherin-9,0,0,0,PCDH9
SeqId_10560_1,Q9NQX7,Integral membrane protein 2C,0,0,1,ITM2C
SeqId_10561_5,Q96LB9,Peptidoglycan recognition protein 3,0,0,1,PGLYRP3
SeqId_10562_42,Q8NC67,Neuropilin and tolloid-like protein 2,0,0,0,NETO2
SeqId_10563_13,Q7Z3D4,LysM and putative peptidoglycan-binding domain-containing protein 3,0,0,0,LYSMD3
SeqId_10565_19,O94933,SLIT and NTRK-like protein 3,0,0,0,SLITRK3
SeqId_10569_28,,,0,1,1,MFAP2
SeqId_10571_14,P26572,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",0,0,0,MGAT1
SeqId_10572_65,O60676,Cystatin-8,0,0,0,CST8
SeqId_10574_10,,,0,1,1,B2M
SeqId_10575_31,Q9UHX1,Poly(U)-binding-splicing factor PUF60,0,0,1,PUF60
SeqId_10580_14,Q6UW10,Surfactant-associated protein 2,0,0,0,SFTA2
SeqId_10582_36,Q9H5K3,Protein O-mannose kinase,0,0,1,POMK
SeqId_10583_1,Q6UXF1,Transmembrane protein 108,0,0,0,TMEM108
SeqId_10584_7,O43181,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",0,0,0,NDUFS4
SeqId_10588_39,Q9UNP4,"Lactosylceramide alpha-2,3-sialyltransferase",0,0,0,ST3GAL5
SeqId_10589_7,Q5VY80,UL16-binding protein 6,0,1,1,RAET1L
SeqId_10593_14,,,1,1,1,
SeqId_10600_24,O14967,Calmegin,0,1,1,CLGN
SeqId_10603_1,P15516,Histatin-3,0,0,1,HTN3
SeqId_10605_22,Q9HDC9,Adipocyte plasma membrane-associated protein,0,0,0,APMAP
SeqId_10606_34,Q5JTV8,Torsin-1A-interacting protein 1,0,0,0,TOR1AIP1
SeqId_10607_4,,,1,1,1,
SeqId_10608_9,P15515,Histatin-1,0,0,0,HTN1
SeqId_10610_8,,,1,1,1,
SeqId_10612_18,O60568,Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3,0,0,0,PLOD3
SeqId_10613_33,Q6P4E1,Protein CASC4,0,0,1,CASC4
SeqId_10615_18,P25189,Myelin protein P0,0,0,1,MPZ
SeqId_10616_67,Q9NZ53,Podocalyxin-like protein 2,0,0,0,PODXL2
SeqId_10618_190,P98164,Low-density lipoprotein receptor-related protein 2,0,0,0,LRP2
SeqId_10620_21,P08118,Beta-microseminoprotein,0,0,0,MSMB
SeqId_10621_26,Q569H4,Protein Largen,0,0,0,PRR16
SeqId_10622_9,,,1,1,1,
SeqId_10623_19,P15941,Mucin-1,0,0,0,MUC1
SeqId_10624_45,Q1W4C9,Serine protease inhibitor Kazal-type 13,0,0,0,SPINK13
SeqId_10627_87,Q06481,Amyloid-like protein 2,0,0,1,APLP2
SeqId_10630_5,Q9BUP3,Oxidoreductase HTATIP2,0,0,0,HTATIP2
SeqId_10637_50,Q6UXG2,UPF0577 protein KIAA1324,0,0,1,KIAA1324
SeqId_10638_1,Q9BSI4,TERF1-interacting nuclear factor 2,0,0,0,TINF2
SeqId_10639_1,,,1,1,1,
SeqId_10640_9,,,1,1,1,
SeqId_10643_16,Q96PB7,Noelin-3,0,0,0,OLFM3
SeqId_10645_72,,,1,1,1,
SeqId_10647_18,Q8N9N2,Activating signal cointegrator 1 complex subunit 1,0,0,1,ASCC1
SeqId_10655_43,,,1,1,1,
SeqId_10658_28,,,1,1,1,
SeqId_10659_49,,,1,1,1,
SeqId_10660_33,,,1,1,1,
SeqId_10661_4,,,1,1,1,
SeqId_10663_42,O15503,Insulin-induced gene 1 protein,0,0,0,INSIG1
SeqId_10665_30,,,1,1,1,
SeqId_10666_7,Q9UJJ9,N-acetylglucosamine-1-phosphotransferase subunit gamma,0,0,1,GNPTG
SeqId_10667_78,Q5T7R7,Uncharacterized protein C1orf185,0,0,0,C1orf185
SeqId_10668_5,Q12846,Syntaxin-4,0,0,1,STX4
SeqId_10671_67,,,1,1,1,
SeqId_10672_75,P07988,Pulmonary surfactant-associated protein B,0,0,1,SFTPB
SeqId_10675_223,Q9Y320,Thioredoxin-related transmembrane protein 2,0,0,1,TMX2
SeqId_10677_9,O95168,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,0,0,1,NDUFB4
SeqId_10692_48,,,1,1,1,
SeqId_10693_43,A4D1S0,Killer cell lectin-like receptor subfamily G member 2,0,0,0,KLRG2
SeqId_10695_12,Q8IUB3,Protein WFDC10B,0,0,0,WFDC10B
SeqId_10699_52,Q07954,Prolow-density lipoprotein receptor-related protein 1,0,0,0,LRP1
SeqId_10700_10,Q5DX21,Immunoglobulin superfamily member 11,0,0,0,IGSF11
SeqId_10701_30,,,1,1,1,
SeqId_10702_1,Q2UY09,Collagen alpha-1(XXVIII) chain,0,0,0,COL28A1
SeqId_10703_203,Q9H7L9,Sin3 histone deacetylase corepressor complex component SDS3,0,0,0,SUDS3
SeqId_10704_91,Q12912,Lymphoid-restricted membrane protein,0,1,1,LRMP
SeqId_10705_14,Q8NDV1,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3",0,0,0,ST6GALNAC3
SeqId_10708_3,O43555,Progonadoliberin-2,0,0,0,GNRH2
SeqId_10710_23,Q6X784,Zona pellucida-binding protein 2,0,0,0,ZPBP2
SeqId_10713_151,A8K4G0,CMRF35-like molecule 7,0,0,0,CD300LB
SeqId_10714_7,P12821,Angiotensin-converting enzyme,0,0,1,ACE
SeqId_10715_5,,,1,1,1,
SeqId_10716_35,Q16401,26S proteasome non-ATPase regulatory subunit 5,0,0,0,PSMD5
SeqId_10721_76,,,2,1,1,HSPA1A
SeqId_10722_13,P43405,Tyrosine-protein kinase SYK,0,0,1,SYK
SeqId_10723_41,,,1,1,1,
SeqId_10731_10,Q8IZT8,Heparan sulfate glucosamine 3-O-sulfotransferase 5,0,0,1,HS3ST5
SeqId_10734_339,Q9H3Q3,Galactose-3-O-sulfotransferase 2,0,1,1,GAL3ST2
SeqId_10737_96,P30740,Leukocyte elastase inhibitor,0,0,1,SERPINB1
SeqId_10748_216,Q9Y5E7,Protocadherin beta-2,0,0,0,PCDHB2
SeqId_10749_18,,,2,1,1,HSPA1A
SeqId_10752_8,Q8N8U2,Chromodomain Y-like protein 2,0,0,1,CDYL2
SeqId_10753_31,Q9H2U9,Disintegrin and metalloproteinase domain-containing protein 7,0,0,0,ADAM7
SeqId_10754_113,Q9HC23,Prokineticin-2,0,0,0,PROK2
SeqId_10756_34,Q969E3,Urocortin-3,0,0,0,UCN3
SeqId_10758_2,O60938,Keratocan,0,0,1,KERA
SeqId_10760_107,P48058,Glutamate receptor 4,0,0,1,GRIA4
SeqId_10761_5,Q15363,Transmembrane emp24 domain-containing protein 2,0,0,0,TMED2
SeqId_10762_2,A4D1S0,Killer cell lectin-like receptor subfamily G member 2,0,0,1,KLRG2
SeqId_10767_52,Q8IZP9,Adhesion G-protein coupled receptor G2,0,0,0,GPR64
SeqId_10772_21,Q8N6G5,Chondroitin sulfate N-acetylgalactosaminyltransferase 2,7,0,1,CSGALNACT2
SeqId_10781_19,Q6UXB4,C-type lectin domain family 4 member G,0,0,1,CLEC4G
SeqId_10785_8,Q8N7C0,Leucine-rich repeat-containing protein 52,0,0,0,LRRC52
SeqId_10791_21,,,1,1,1,
SeqId_10798_4,Q496F6,CMRF35-like molecule 2,0,0,0,CD300E
SeqId_10800_15,P50454,Serpin H1,0,0,1,SERPINH1
SeqId_10803_22,,,2,1,1,HSPA1A
SeqId_10809_14,Q12918,Killer cell lectin-like receptor subfamily B member 1,0,0,0,KLRB1
SeqId_10814_7,P06126,T-cell surface glycoprotein CD1a,0,0,0,CD1A
SeqId_10815_2,Q5JVS0,Intracellular hyaluronan-binding protein 4,0,0,0,HABP4
SeqId_10816_150,Q9UKJ1,Paired immunoglobulin-like type 2 receptor alpha,0,0,0,PILRA
SeqId_10817_26,Q6UXN7,TOMM20-like protein 1,0,0,1,TOMM20L
SeqId_10818_36,P17405,Sphingomyelin phosphodiesterase,0,0,0,SMPD1
SeqId_10823_19,,,1,1,1,
SeqId_10825_12,Q8N0Z9,V-set and immunoglobulin domain-containing protein 10,0,0,0,VSIG10
SeqId_10827_67,P0C6S8,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3,0,0,0,LINGO3
SeqId_10830_5,O75071,EF-hand calcium-binding domain-containing protein 14,0,0,0,EFCAB14
SeqId_10832_24,Q9UBX8,"Beta-1,4-galactosyltransferase 6",0,0,0,B4GALT6
SeqId_10833_64,Q96QV1,Hedgehog-interacting protein,0,0,0,HHIP
SeqId_10835_25,Q9UNA3,"Alpha-1,4-N-acetylglucosaminyltransferase",0,0,0,A4GNT
SeqId_10842_7,Q9P109,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",0,0,0,GCNT4
SeqId_10847_1,Q6ZMC9,Sialic acid-binding Ig-like lectin 15,0,0,1,SIGLEC15
SeqId_10848_137,Q6UXE8,Butyrophilin-like protein 3,0,0,0,BTNL3
SeqId_10851_77,Q14213,Interleukin-27 subunit beta,0,0,0,EBI3
SeqId_10852_114,O14979,Heterogeneous nuclear ribonucleoprotein D-like,0,0,1,HNRNPDL
SeqId_10866_60,Q6IN85,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,0,0,0,SMEK1
SeqId_10876_300,Q6PJG6,BRCA1-associated ATM activator 1,0,0,0,BRAT1
SeqId_10880_38,P0C2L3,Protein FAM163B,0,0,1,FAM163B
SeqId_10882_12,Q08554,Desmocollin-1,0,0,0,DSC1
SeqId_10885_36,Q6UWU4,Bombesin receptor-activated protein C6orf89,0,0,0,C6orf89
SeqId_10888_4,,,1,1,1,
SeqId_10889_2,Q96G30,Melanocortin-2 receptor accessory protein 2,0,0,0,MRAP2
SeqId_10890_135,Q6UWM7,Lactase-like protein,0,0,0,LCTL
SeqId_10892_8,Q99650,Oncostatin-M-specific receptor subunit beta,0,0,0,OSMR
SeqId_10895_28,Q86T26,Transmembrane protease serine 11B,0,0,1,TMPRSS11B
SeqId_10900_272,Q93045,Stathmin-2,0,0,0,STMN2
SeqId_10902_53,Q53RT3,Retroviral-like aspartic protease 1,0,1,1,ASPRV1
SeqId_10903_50,Q9UNK0,Syntaxin-8,0,0,1,STX8
SeqId_10907_116,Q9P121,Neurotrimin,0,0,1,NTM
SeqId_10908_2,Q8IUC8,Polypeptide N-acetylgalactosaminyltransferase 13,0,0,0,GALNT13
SeqId_10910_6,O75871,Carcinoembryonic antigen-related cell adhesion molecule 4,0,0,0,CEACAM4
SeqId_10914_4,,,1,1,1,
SeqId_10916_44,Q13018,Secretory phospholipase A2 receptor,0,0,0,PLA2R1
SeqId_10917_40,O14610,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,0,0,0,GNGT2
SeqId_10924_258,Q8WUJ1,Neuferricin,0,0,0,CYB5D2
SeqId_10927_65,,,1,1,1,
SeqId_10933_107,Q9BXU9,Calcium-binding protein 8,0,0,1,CALN1
SeqId_10938_13,P19256,Lymphocyte function-associated antigen 3,0,0,0,CD58
SeqId_10939_16,Q9H4M7,Pleckstrin homology domain-containing family A member 4,0,0,0,PLEKHA4
SeqId_10940_25,Q86TD4,Sarcalumenin,0,0,0,SRL
SeqId_10943_36,,,1,1,1,
SeqId_10945_11,O43752,Syntaxin-6,0,0,1,STX6
SeqId_10948_14,Q8IV08,Phospholipase D3,0,0,0,PLD3
SeqId_10949_59,P05387,60S acidic ribosomal protein P2,0,0,0,RPLP2
SeqId_10953_14,Q6UVW9,C-type lectin domain family 2 member A,0,0,0,CLEC2A
SeqId_10955_4,Q8IUN9,C-type lectin domain family 10 member A,0,0,0,CLEC10A
SeqId_10956_82,P23434,"Glycine cleavage system H protein, mitochondrial",0,0,0,GCSH
SeqId_10959_125,Q9NYM9,BET1-like protein,0,0,0,BET1L
SeqId_10961_15,Q9UL19,Retinoic acid receptor responder protein 3,0,0,0,RARRES3
SeqId_10962_46,,,1,1,1,
SeqId_10974_20,P58062,Serine protease inhibitor Kazal-type 7,0,0,0,SPINK7
SeqId_10975_59,Q96DR8,Mucin-like protein 1,0,0,0,MUCL1
SeqId_10977_55,Q8WVF2,Unique cartilage matrix-associated protein,0,0,0,UCMA
SeqId_10978_39,P01242,Growth hormone variant,0,0,0,GH2
SeqId_10981_56,P56975,"Pro-neuregulin-3, membrane-bound isoform",0,0,0,NRG3
SeqId_10990_21,Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,0,0,1,LRRK2
SeqId_11067_13,P02818,Osteocalcin,0,0,0,BGLAP
SeqId_11071_1,P05113,Interleukin-5,0,0,0,IL5
SeqId_11089_7,P01877|P01876,Immunoglobulin heavy constant alpha 1|Immunoglobulin heavy constant alpha 2,0,0,0,IGHA1 IGHA2
SeqId_11094_104,Q05315,Galectin-10,0,0,0,CLC
SeqId_11096_57,Q9Y5N5,Methyltransferase N6AMT1,0,0,1,N6AMT1
SeqId_11098_1,O00764,Pyridoxal kinase,0,0,1,PDXK
SeqId_11101_18,O00206,Toll-like receptor 4,0,0,0,TLR4
SeqId_11102_22,Q9BYZ8,Regenerating islet-derived protein 4,0,0,0,REG4
SeqId_11103_24,P04792,Heat shock protein beta-1,0,0,1,HSPB1
SeqId_11104_13,P36222,Chitinase-3-like protein 1,0,0,0,CHI3L1
SeqId_11105_171,P06733,Alpha-enolase,6,0,1,ENO1
SeqId_11107_25,Q9P273,Teneurin-3,0,0,0,TENM3
SeqId_11109_56,Q4LDE5,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0,0,0,SVEP1
SeqId_11110_4,Q4V9L6,Transmembrane protein 119,0,0,0,TMEM119
SeqId_11112_18,Q8TBQ9,Protein kish-A,0,0,0,TMEM167A
SeqId_11116_16,Q6NUJ2,Uncharacterized protein C11orf87,0,0,1,C11orf87
SeqId_11117_2,Q8TB22,Spermatogenesis-associated protein 20,0,0,0,SPATA20
SeqId_11118_107,Q9H0T7,Ras-related protein Rab-17,0,0,1,RAB17
SeqId_11120_49,Q8WUY8,N-acetyltransferase 14,0,0,0,NAT14
SeqId_11122_97,Q9NZD8,Maspardin,0,0,0,SPG21
SeqId_11126_102,O75962,Triple functional domain protein,0,0,0,TRIO
SeqId_11128_29,Q8N3T6,Transmembrane protein 132C,0,0,0,TMEM132C
SeqId_11129_66,O95972,Bone morphogenetic protein 15,0,0,0,BMP15
SeqId_11130_158,O00305,Voltage-dependent L-type calcium channel subunit beta-4,0,0,0,CACNB4
SeqId_11134_30,Q9UGC7,"Peptide chain release factor 1-like, mitochondrial",0,0,0,MTRF1L
SeqId_11135_5,Q7Z7F7,"39S ribosomal protein L55, mitochondrial",0,0,0,MRPL55
SeqId_11137_43,P32927,Cytokine receptor common subunit beta,0,0,0,CSF2RB
SeqId_11138_16,Q13761,Runt-related transcription factor 3,0,0,0,RUNX3
SeqId_11139_4,,,1,1,1,
SeqId_11140_56,P02452,Collagen alpha-1(I) chain,0,0,0,COL1A1
SeqId_11142_11,O95841,Angiopoietin-related protein 1,0,0,0,ANGPTL1
SeqId_11143_32,Q96PB7,Noelin-3,0,0,0,OLFM3
SeqId_11144_10,Q30KQ4,Beta-defensin 116,0,0,0,DEFB116
SeqId_11145_72,Q6ZVL6,UPF0606 protein KIAA1549L,0,0,0,KIAA1549L
SeqId_11146_4,Q9Y458,T-box transcription factor TBX22,0,0,0,TBX22
SeqId_11147_17,Q86YW5,Trem-like transcript 1 protein,0,0,0,TREML1
SeqId_11149_3,Q15399,Toll-like receptor 1,0,0,1,TLR1
SeqId_11152_46,Q9UKR3,Kallikrein-13,0,0,0,KLK13
SeqId_11154_3,Q14494,Endoplasmic reticulum membrane sensor NFE2L1,0,0,0,NFE2L1
SeqId_11155_16,A8TX70,Collagen alpha-5(VI) chain,0,0,0,COL6A5
SeqId_11157_35,,,2,1,1,HSPA1A
SeqId_11158_40,Q6ZP65,BICD family-like cargo adapter 1,0,0,0,CCDC64
SeqId_11160_56,Q9H9V4,RING finger protein 122,0,0,1,RNF122
SeqId_11161_5,Q8N0X7,Spartin,0,0,1,SPG20
SeqId_11162_37,Q9NQ60,Equatorin,0,0,0,EQTN
SeqId_11163_7,Q5T6X4,Protein FAM162B,0,0,0,FAM162B
SeqId_11164_7,Q9NT68,Teneurin-2,0,0,1,TENM2
SeqId_11167_6,Q13613,Myotubularin-related protein 1,0,0,1,MTMR1
SeqId_11168_3,Q96KG7,Multiple epidermal growth factor-like domains protein 10,0,0,0,MEGF10
SeqId_11171_25,P21333,Filamin-A,0,0,1,FLNA
SeqId_11173_29,Q7Z6M3,Allergin-1,0,0,0,MILR1
SeqId_11174_8,Q9UPZ6,Thrombospondin type-1 domain-containing protein 7A,0,0,0,THSD7A
